SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2227 Fairview Ave,Houston,TX,77019,1695000,4.0,4.5,Glendower Court,3935.0,4957.0,2006.0,119,431.0,79.0,Active,,,https://www.redfin.com/TX/Houston/2227-Fairview-Ave-77019/home/29839424,HARMLS,11758988,N,Y,29.7444649,-95.4145934
MLS Listing,,Single Family Residential,2920 Lazy Lane Blvd,Houston,TX,77019,25000000,5.0,9.5,River Oaks Homewoods,17405.0,197109.0,1989.0,174,1436.0,83.0,Active,,,https://www.redfin.com/TX/Houston/2920-Lazy-Lane-Blvd-77019/home/29880580,HARMLS,94632073,N,Y,29.7568879,-95.417969
MLS Listing,,Single Family Residential,897 Kirby Dr,Houston,TX,77019,2250000,4.0,5.5,River Oaks,5436.0,9110.0,1980.0,182,414.0,199.0,Active,,,https://www.redfin.com/TX/Houston/897-Kirby-Dr-77019/home/29880645,HARMLS,17449476,N,Y,29.759267,-95.4088804
MLS Listing,,Single Family Residential,2445 Pine Valley Ct,Houston,TX,77019,12500000,5.0,8.0,River Oaks,8900.0,26808.0,2022.0,192,1404.0,219.0,Active,,,https://www.redfin.com/TX/Houston/2445-Pine-Valley-Ct-77019/home/29880742,HARMLS,3256806,N,Y,29.7548,-95.4160868
MLS Listing,,Single Family Residential,3315 Del Monte Dr,Houston,TX,77019,12500000,5.0,8.5,River Oaks Country Club Estate,12519.0,22500.0,2022.0,193,998.0,221.0,Active,,,https://www.redfin.com/TX/Houston/3315-Del-Monte-Dr-77019/home/29880457,HARMLS,68598897,N,Y,29.7492748,-95.4275711
MLS Listing,,Condo/Co-op,3333 Allen Pkwy #2303,Houston,TX,77019,394999,1.0,1.0,River Oaks,1068.0,,2003.0,205,370.0,865.0,Active,,,https://www.redfin.com/TX/Houston/3333-Allen-Pkwy-77019/unit-2303/home/29388146,HARMLS,98008077,N,Y,29.7602147,-95.40099
MLS Listing,,Single Family Residential,1923 Olympia Dr,Houston,TX,77019,5595000,4.0,6.0,River Oaks,7395.0,14400.0,1980.0,206,757.0,208.0,Active,,,https://www.redfin.com/TX/Houston/1923-Olympia-Dr-77019/home/29881901,HARMLS,96256831,N,Y,29.7486545,-95.4340111
MLS Listing,,Vacant Land,3909 Del Monte Dr,Houston,TX,77019,5700000,,,River Oaks Tall Timbers,,37358.0,,208,,293.0,Active,,,https://www.redfin.com/TX/Houston/3909-Del-Monte-Dr-77019/home/29882030,HARMLS,77617312,N,Y,29.749154,-95.4421771
MLS Listing,,Single Family Residential,2521 Westgate Dr,Houston,TX,77019,3299000,5.0,5.5,Glendower Court,6312.0,7700.0,2016.0,209,523.0,79.0,Active,,,https://www.redfin.com/TX/Houston/2521-Westgate-Dr-77019/home/29839052,HARMLS,20793515,N,Y,29.7431168,-95.4144707
MLS Listing,,Vacant Land,419-515 W Gray St,Houston,TX,77019,4964000,,,West Gray Terrace,,32875.0,,270,,,Active,,,https://www.redfin.com/TX/Houston/419-W-Gray-St-77019/home/29839144,HARMLS,65534742,N,Y,29.753011,-95.3873186
MLS Listing,,Multi-Family (2-4 Unit),412 Peden St,Houston,TX,77006,749990,0.0,1.0,Lot 12 Block 1,2361.0,4705.0,1930.0,270,318.0,,Active,,,https://www.redfin.com/TX/Houston/412-Peden-St-77006/home/29826436,HARMLS,73888641,N,Y,29.7528175,-95.3870145
MLS Listing,,Single Family Residential,8 Tiel Way,Houston,TX,77019,5200000,5.0,5.5,River Oaks,4691.0,69003.0,1960.0,291,1109.0,323.0,Active,,,https://www.redfin.com/TX/Houston/8-Tiel-Way-77019/home/29881319,HARMLS,50190270,N,Y,29.7605448,-95.409975
MLS Listing,,Condo/Co-op,2111 Welch St Unit A211,Houston,TX,77019,320000,2.0,2.0,Renaissance At River Oaks,1252.0,173261.0,1992.0,298,256.0,544.0,Active,,,https://www.redfin.com/TX/Houston/2111-Welch-St-77019/unit-A211/home/29159745,HARMLS,15691747,N,Y,29.7479111,-95.4113816
MLS Listing,,Condo/Co-op,2121 Kirby Dr Unit 4NE,Houston,TX,77019,1300000,2.0,3.0,Huntingdon Condo,3163.0,,1983.0,299,411.0,3036.0,Active,,,https://www.redfin.com/TX/Houston/2121-Kirby-Dr-77019/unit-4NE/home/30559687,HARMLS,19391883,N,Y,29.7468876,-95.4182334
MLS Listing,,Single Family Residential,2521 Pelham Dr,Houston,TX,77019,1775000,0.0,,River Oaks,4061.0,9550.0,1936.0,321,437.0,195.0,Active,,,https://www.redfin.com/TX/Houston/2521-Pelham-Dr-77019/home/29880657,HARMLS,36575166,N,Y,29.7500628,-95.4177849
MLS Listing,,Vacant Land,1304 & 1306 Peden St,Houston,TX,77006,555000,,,Peden Square,,3318.0,,431,,,Active,,,https://www.redfin.com/TX/Houston/1304-Peden-St-77006/home/29629013,HARMLS,17833246,N,Y,29.7526077,-95.396121
MLS Listing,,Single Family Residential,1722 River Oaks Blvd,Houston,TX,77019,20000000,5.0,6.5,River Oaks Country Club Estate,12209.0,44172.0,2005.0,458,1638.0,,Active,,,https://www.redfin.com/TX/Houston/1722-River-Oaks-Blvd-77019/home/29879394,HARMLS,15251057,N,Y,29.7499642,-95.4270812
MLS Listing,,Single Family Residential,1106 Oneil St,Houston,TX,77019,700000,2.0,1.0,Runnells,1428.0,5000.0,1900.0,537,490.0,,Active,,,https://www.redfin.com/TX/Houston/1106-Oneil-St-77019/home/29738879,HARMLS,13863906,N,Y,29.7528533,-95.3789744
MLS Listing,,Single Family Residential,2109 River Oaks Blvd,Houston,TX,77019,15950000,6.0,8.0,River Oaks Country Club Estate,12900.0,39600.0,2004.0,567,1236.0,297.0,Active,,,https://www.redfin.com/TX/Houston/2109-River-Oaks-Blvd-77019/home/29880503,HARMLS,50257095,N,Y,29.7469083,-95.4259895
MLS Listing,,Vacant Land,1318 Andrews St,Houston,TX,77019,700000,,,Castanie,,5000.0,,576,,,Active,,,https://www.redfin.com/TX/Houston/1318-Andrews-St-77019/home/29657040,HARMLS,46017496,N,Y,29.7559548,-95.381061
MLS Listing,,Single Family Residential,3001 Inwood Dr,Houston,TX,77019,16500000,6.0,9.0,River Oaks,13630.0,43700.0,2021.0,618,1211.0,221.0,Active,,,https://www.redfin.com/TX/Houston/3001-Inwood-Dr-77019/home/29880567,HARMLS,46936142,N,Y,29.7513721,-95.4210584
MLS Listing,,Condo/Co-op,2121 Kirby Dr Unit 32S,Houston,TX,77019,3900000,2.0,4.0,Huntingdon,6224.0,,1983.0,634,627.0,5910.0,Active,,,https://www.redfin.com/TX/Houston/2121-Kirby-Dr-77019/unit-32S/home/30559609,HARMLS,60544689,N,Y,29.7468876,-95.4182334
MLS Listing,,Condo/Co-op,1914 W Gray St #401,Houston,TX,77019,1450000,2.0,2.5,Metropolis Condo Amd,3518.0,,1997.0,677,412.0,625.0,Active,,,https://www.redfin.com/TX/Houston/1914-W-Gray-St-77019/unit-401/home/30676437,HARMLS,58787760,N,Y,29.7537142,-95.4032072
MLS Listing,,Single Family Residential,1000 Kirby Dr,Houston,TX,77019,13995000,10.0,13.0,River Oaks,22880.0,137650.0,1986.0,698,612.0,401.0,Active,,,https://www.redfin.com/TX/Houston/1000-Kirby-Dr-77019/home/29773708,HARMLS,89144504,N,Y,29.7594336,-95.4130591
MLS Listing,,Single Family Residential,5650 Overbrook Ln,Houston,TX,77056,1399000,4.0,3.5,Briarcroft,2825.0,9000.0,1953.0,2,495.0,67.0,Active,,,https://www.redfin.com/TX/Houston/5650-Overbrook-Ln-77056/home/30050206,HARMLS,32142768,N,Y,29.7408058,-95.4762451
MLS Listing,,Condo/Co-op,2400 Mccue Rd #205,Houston,TX,77056,360000,2.0,2.0,2400 Mccue Condos,1017.0,118955.0,2001.0,2,354.0,585.0,Active,,,https://www.redfin.com/TX/Houston/2400-McCue-Rd-77056/unit-205/home/29396024,HARMLS,12336020,N,Y,29.7426862,-95.4644525
MLS Listing,,Single Family Residential,5626 Terwilliger Way,Houston,TX,77056,2750000,4.0,5.0,Briarcroft,8053.0,15100.0,2007.0,3,341.0,67.0,Active,,,https://www.redfin.com/TX/Houston/5626-Terwilliger-Way-77056/home/30050119,HARMLS,30172596,N,Y,29.7493019,-95.4752826
MLS Listing,,Condo/Co-op,5555 Del Monte Dr #2404,Houston,TX,77056,1150000,4.0,4.5,St James Condominium,4405.0,,1975.0,4,261.0,3590.0,Active,,,https://www.redfin.com/TX/Houston/5555-Del-Monte-Dr-77056/unit-2404/home/30346132,HARMLS,69711234,N,Y,29.7454232,-95.4714223
MLS Listing,,Townhouse,5166 Chevy Chase Dr,Houston,TX,77056,625000,3.0,2.5,Chevy Chase,2417.0,2727.0,1998.0,4,259.0,167.0,Active,,,https://www.redfin.com/TX/Houston/5166-Chevy-Chase-Dr-77056/home/30685126,HARMLS,71792688,N,Y,29.7462934,-95.4667291
MLS Listing,,Condo/Co-op,5656 San Felipe St #803,Houston,TX,77056,1715000,2.0,3.0,Tanglewood/memorial,2030.0,,2023.0,4,845.0,1813.0,Active,,,https://www.redfin.com/TX/Houston/5656-San-Felipe-St-77056/unit-803/home/179175257,HARMLS,95395575,N,Y,29.7503996,-95.4762758
MLS Listing,,Condo/Co-op,5656 San Felipe St #1303,Houston,TX,77056,1495000,2.0,2.0,Tanglewood/memorial,1517.0,,2023.0,4,985.0,1393.0,Active,,,https://www.redfin.com/TX/Houston/5656-San-Felipe-St-77056/unit-1303/home/178427498,HARMLS,62766646,N,Y,29.7503996,-95.4762758
